Facility ID,ED_2b,EDV,OP_18b,OP_18c,OP_2,OP_22,OP_23,OP_29,OP_31,OP_33,OP_3b,PC_01,SEP_1,SEP_SH_3HR,SEP_SH_6HR,SEV_SEP_3HR,SEV_SEP_6HR
10019,67,medium,116,NA,NA,1,71,90,NA,NA,47,4,82,93,95,92,97
100191,45,very high,108,176,NA,0,84,NA,NA,NA,NA,2,62,85,94,83,86
100200,83,NA,116,254,NA,NA,NA,NA,NA,NA,NA,NA,85,96,93,95,92
100204,110,very high,117,NA,NA,0,NA,96,NA,NA,NA,2,70,99,NA,89,77
100206,95,medium,139,146,NA,0,27,85,NA,NA,NA,NA,95,100,NA,96,98
100209,194,very high,120,286,NA,1,NA,100,NA,NA,NA,0,67,88,100,82,90
10021,80,low,100,135,NA,2,NA,89,NA,NA,NA,NA,75,95,NA,83,93
100211,79,NA,129,NA,NA,NA,NA,64,NA,NA,NA,NA,79,98,76,87,97
100212,129,very high,127,222,NA,1,NA,100,NA,NA,NA,NA,79,95,95,92,88
100213,57,high,161,157,NA,0,NA,100,NA,NA,NA,NA,83,91,93,95,96
100217,170,low,140,199,NA,0,NA,93,NA,NA,NA,NA,52,79,NA,80,87
10021F,90,medium,91,NA,NA,0,NA,100,NA,NA,NA,0,NA,NA,NA,NA,NA
10022,57,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100220,243,very high,192,236,NA,1,85,66,NA,NA,NA,NA,35,66,43,69,77
100223,169,very high,108,267,NA,0,NA,99,NA,NA,NA,1,51,89,47,77,77
100224,76,medium,132,280,NA,1,NA,NA,NA,NA,58,NA,90,99,NA,94,99
100226,145,very high,130,398,NA,1,NA,100,NA,NA,NA,0,79,95,76,89,95
100228,75,high,133,NA,NA,0,NA,100,NA,NA,NA,NA,90,97,97,96,95
10023,214,NA,145,NA,NA,NA,NA,99,NA,NA,NA,1,30,75,11,65,82
100230,136,very high,130,NA,NA,1,NA,88,NA,NA,48,NA,70,88,65,89,96
100231,69,very high,113,202,NA,1,95,100,NA,NA,NA,4,89,96,88,95,99
100232,121,high,102,126,NA,1,NA,100,NA,NA,NA,9,66,94,85,78,90
100236,92,medium,150,192,NA,0,NA,100,NA,NA,NA,NA,72,93,73,88,93
100238,65,medium,125,193,NA,1,NA,88,NA,NA,NA,NA,75,94,70,87,97
10024,145,very high,112,257,NA,1,NA,100,NA,NA,NA,0,60,83,59,83,91
100242,290,very high,177,469,NA,1,92,100,NA,NA,NA,0,57,87,45,85,71
100243,91,very high,133,NA,NA,1,71,100,NA,NA,NA,0,81,96,88,94,88
100244,156,very high,198,227,NA,2,73,NA,NA,NA,28,3,49,73,92,78,83
100246,196,very high,140,NA,NA,1,NA,100,NA,NA,NA,1,58,88,36,73,96
100248,64,very high,123,186,NA,1,NA,NA,NA,NA,NA,NA,83,92,100,92,97
100249,126,medium,144,217,NA,1,NA,NA,NA,NA,NA,0,65,94,69,75,98
100252,51,medium,122,172,82,0,95,100,NA,NA,NA,NA,86,95,88,94,97
100253,189,low,194,182,NA,1,45,90,NA,85,NA,7,60,85,78,79,94
100254,100,very high,124,124,NA,0,NA,91,NA,NA,NA,2,63,95,NA,73,87
100256,58,high,147,257,NA,0,NA,NA,NA,NA,NA,NA,86,100,95,91,95
100258,196,high,170,202,NA,0,NA,100,NA,NA,NA,NA,76,96,100,92,86
100259,65,medium,142,177,NA,0,NA,100,NA,NA,NA,NA,66,89,80,81,93
100260,92,high,116,158,NA,0,NA,NA,NA,NA,39,0,78,95,57,91,97
100264,98,very high,156,NA,NA,0,89,NA,NA,NA,NA,0,75,94,100,86,90
100265,91,very high,162,222,NA,1,64,96,NA,NA,NA,3,72,87,93,86,98
100266,137,medium,147,NA,NA,2,86,100,NA,NA,57,NA,44,80,NA,75,59
100267,43,medium,125,204,NA,1,98,NA,NA,NA,NA,NA,87,100,76,91,100
100268,110,high,138,172,NA,0,NA,100,NA,NA,NA,5,67,79,82,88,96
100269,167,high,127,NA,NA,1,NA,100,NA,NA,NA,5,73,93,55,90,94
100275,115,high,140,NA,NA,0,NA,NA,NA,NA,NA,0,62,87,65,80,95
100276,109,very high,141,NA,NA,0,NA,97,NA,NA,48,0,76,93,85,88,96
100277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100281,206,very high,195,309,NA,1,89,99,NA,86,NA,0,71,87,81,89,92
100284,NA,low,206,411,NA,1,NA,67,NA,NA,NA,NA,100,100,100,100,100
100285,140,very high,171,185,NA,0,NA,100,NA,NA,34,0,90,98,100,93,98
